product_id,created_at,offer_id,name,category,subcategory,brand,sku_count,requires_certification,restricted_category,dangerous_goods,brand_risk_high,fragile,battery,return_risk_high,compatibility_complex
P0001,2026-08-12T14:35:44.238545,O0001,Sample product 1,pets,general,generic,1,False,False,False,False,False,False,False,False
P0002,2026-04-16T14:35:44.238545,O0002,Sample product 2,automotive,general,generic,1,False,False,False,False,False,False,False,False
P0003,2026-04-24T14:35:44.238545,O0003,Sample product 3,pets,general,generic,1,False,False,False,False,False,False,False,False
P0004,2026-07-02T14:35:44.238545,O0004,Sample product 4,diy,general,generic,1,False,False,False,False,False,False,False,False
P0005,2026-04-24T14:35:44.238545,O0005,Sample product 5,diy,general,generic,1,False,False,False,False,False,False,False,False
P0006,2026-04-19T14:35:44.238545,O0006,Sample product 6,pets,general,generic,1,False,False,False,False,False,False,False,False
P0007,2026-03-19T14:35:44.238545,O0007,Sample product 7,diy,general,generic,1,False,False,False,False,False,False,False,False
P0008,2026-04-19T14:35:44.238545,O0008,Sample product 8,diy,general,generic,1,False,False,False,False,False,False,False,False
P0009,2026-08-06T14:35:44.238545,O0009,Sample product 9,kitchen,general,generic,1,False,False,False,False,False,False,False,False
P0010,2026-08-16T14:35:44.238545,O0010,Sample product 10,diy,general,generic,1,False,False,False,False,False,False,False,False
P0011,2026-08-07T14:35:44.238545,O0011,Sample product 11,automotive,general,generic,1,False,False,False,False,False,False,False,False
P0012,2026-06-05T14:35:44.238545,O0012,Sample product 12,kitchen,general,generic,1,False,False,False,False,False,False,False,False
P0013,2026-03-19T14:35:44.238545,O0013,Sample product 13,kitchen,general,generic,1,False,False,False,False,False,False,False,False
P0014,2026-07-07T14:35:44.238545,O0014,Sample product 14,kitchen,general,generic,1,False,False,False,False,False,False,False,False
P0015,2026-05-19T14:35:44.238545,O0015,Sample product 15,diy,general,generic,1,False,False,False,False,False,False,False,False
P0016,2026-05-02T14:35:44.238545,O0016,Sample product 16,pets,general,generic,1,False,False,False,False,False,False,False,False
P0017,2026-05-05T14:35:44.238545,O0017,Sample product 17,kitchen,general,generic,1,False,False,False,False,False,False,False,False
P0018,2026-05-07T14:35:44.238545,O0018,Sample product 18,automotive,general,generic,1,False,False,False,False,False,False,False,False
P0019,2026-05-26T14:35:44.238545,O0019,Sample product 19,kitchen,general,generic,1,False,False,False,False,False,False,False,False
P0020,2026-08-07T14:35:44.238545,O0020,Sample product 20,automotive,general,generic,1,False,False,False,False,False,False,False,False
P0021,2026-03-31T14:35:44.238545,O0021,Sample product 21,pets,general,generic,1,False,False,False,False,False,False,False,False
P0022,2026-05-11T14:35:44.238545,O0022,Sample product 22,pets,general,generic,1,False,False,False,False,False,False,False,False
P0023,2026-06-30T14:35:44.238545,O0023,Sample product 23,automotive,general,generic,1,False,False,False,False,False,False,False,False
P0024,2026-06-10T14:35:44.238545,O0024,Sample product 24,automotive,general,generic,1,False,False,False,False,False,False,False,False
P0025,2026-06-15T14:35:44.238545,O0025,Sample product 25,pets,general,generic,1,False,False,False,False,False,False,False,False
P0026,2026-04-20T14:35:44.238545,O0026,Sample product 26,pets,general,generic,1,False,False,False,False,False,False,False,False
P0027,2026-03-23T14:35:44.238545,O0027,Sample product 27,automotive,general,generic,1,False,False,False,False,False,False,False,False
P0028,2026-05-07T14:35:44.238545,O0028,Sample product 28,pets,general,generic,1,False,False,False,False,False,False,False,False
P0029,2026-04-05T14:35:44.238545,O0029,Sample product 29,kitchen,general,generic,1,False,False,False,False,False,False,False,False
P0030,2026-03-30T14:35:44.238545,O0030,Sample product 30,kitchen,general,generic,1,False,False,False,False,False,False,False,False
P0031,2026-03-17T14:35:44.238545,O0031,Sample product 31,automotive,general,generic,1,False,False,False,False,False,False,False,False
P0032,2026-03-23T14:35:44.238545,O0032,Sample product 32,diy,general,generic,1,False,False,False,False,False,False,False,False
P0033,2026-05-30T14:35:44.238545,O0033,Sample product 33,home,general,generic,1,False,False,False,False,False,False,False,False
P0034,2026-05-04T14:35:44.238545,O0034,Sample product 34,automotive,general,generic,1,False,False,False,False,False,False,False,False
P0035,2026-03-19T14:35:44.238545,O0035,Sample product 35,diy,general,generic,1,False,False,False,False,False,False,False,False
P0036,2026-06-26T14:35:44.238545,O0036,Sample product 36,automotive,general,generic,1,False,False,False,False,False,False,False,False
P0037,2026-03-23T14:35:44.238545,O0037,Sample product 37,kitchen,general,generic,1,False,False,False,False,False,False,False,False
P0038,2026-07-06T14:35:44.238545,O0038,Sample product 38,pets,general,generic,1,False,False,False,False,False,False,False,False
