date,offer_id,impressions,clicks,cart_additions,orders,revenue,returns,price,stock
2026-08-23 14:35:44.238545,O0001,213,13,2,1,1735,0,2336,33
2026-08-22 14:35:44.238545,O0001,231,3,0,0,0,0,1261,70
2026-08-21 14:35:44.238545,O0001,146,8,1,0,0,0,2542,8
2026-08-20 14:35:44.238545,O0001,242,10,1,0,0,0,1306,48
2026-08-19 14:35:44.238545,O0001,157,9,1,0,0,0,2472,34
2026-08-18 14:35:44.238545,O0001,139,2,0,0,0,0,2593,31
2026-08-17 14:35:44.238545,O0001,225,11,2,0,0,0,1549,87
2026-08-16 14:35:44.238545,O0001,110,6,1,0,0,0,1921,34
2026-08-15 14:35:44.238545,O0001,361,19,1,0,0,0,2442,63
2026-08-14 14:35:44.238545,O0001,21,1,0,0,0,0,2249,68
2026-08-13 14:35:44.238545,O0001,170,10,2,0,0,0,1383,65
2026-08-12 14:35:44.238545,O0001,29,1,0,0,0,0,2493,54
2026-08-11 14:35:44.238545,O0001,107,3,0,0,0,0,2233,1
2026-08-10 14:35:44.238545,O0001,161,5,1,0,0,0,1796,14
2026-08-09 14:35:44.238545,O0001,165,7,1,0,0,0,1639,64
2026-08-08 14:35:44.238545,O0001,188,4,0,0,0,0,2139,77
2026-08-07 14:35:44.238545,O0001,207,11,2,1,2086,0,2326,41
2026-08-06 14:35:44.238545,O0001,136,5,0,0,0,0,1590,7
2026-08-05 14:35:44.238545,O0001,186,11,2,0,0,0,2190,98
2026-08-04 14:35:44.238545,O0001,272,15,2,0,0,0,2342,54
2026-08-03 14:35:44.238545,O0001,381,12,1,0,0,0,1738,51
2026-08-02 14:35:44.238545,O0001,310,12,1,0,0,0,1607,28
2026-08-01 14:35:44.238545,O0001,197,8,0,0,0,0,1245,90
2026-07-31 14:35:44.238545,O0001,135,4,1,0,0,0,2152,30
2026-07-30 14:35:44.238545,O0001,161,9,0,0,0,0,2280,60
2026-07-29 14:35:44.238545,O0001,184,10,1,0,0,0,1982,45
2026-07-28 14:35:44.238545,O0001,90,4,0,0,0,0,1301,7
2026-07-27 14:35:44.238545,O0001,112,5,0,0,0,0,2198,57
2026-07-26 14:35:44.238545,O0001,216,10,0,0,0,0,2007,70
2026-07-25 14:35:44.238545,O0001,286,15,2,0,0,0,1584,21
2026-08-23 14:35:44.238545,O0002,280,12,2,0,0,0,2482,30
2026-08-22 14:35:44.238545,O0002,3,0,0,0,0,0,2368,10
2026-08-21 14:35:44.238545,O0002,75,3,0,0,0,0,2471,91
2026-08-20 14:35:44.238545,O0002,152,7,1,0,0,0,1747,96
2026-08-19 14:35:44.238545,O0002,191,7,0,0,0,0,1250,68
2026-08-18 14:35:44.238545,O0002,196,10,2,0,0,0,1856,36
2026-08-17 14:35:44.238545,O0002,273,17,2,0,0,0,2183,1
2026-08-16 14:35:44.238545,O0002,123,2,0,0,0,0,1641,14
2026-08-15 14:35:44.238545,O0002,294,7,1,0,0,0,2569,43
2026-08-14 14:35:44.238545,O0002,216,13,2,1,1104,0,1967,35
2026-08-13 14:35:44.238545,O0002,257,11,3,1,1330,0,2229,90
2026-08-12 14:35:44.238545,O0002,168,6,1,0,0,0,2217,4
2026-08-11 14:35:44.238545,O0002,240,5,0,0,0,0,1846,5
2026-08-10 14:35:44.238545,O0002,229,7,1,0,0,0,1932,79
2026-08-09 14:35:44.238545,O0002,179,1,0,0,0,0,1944,3
2026-08-08 14:35:44.238545,O0002,267,18,3,0,0,0,1608,34
2026-08-07 14:35:44.238545,O0002,255,15,2,0,0,0,1555,25
2026-08-06 14:35:44.238545,O0002,220,5,0,0,0,0,1556,3
2026-08-05 14:35:44.238545,O0002,131,3,0,0,0,0,1819,82
2026-08-04 14:35:44.238545,O0002,44,1,0,0,0,0,1336,33
2026-08-03 14:35:44.238545,O0002,280,20,3,1,1889,0,1742,55
2026-08-02 14:35:44.238545,O0002,95,2,0,0,0,0,1190,90
2026-08-01 14:35:44.238545,O0002,79,3,0,0,0,0,1503,46
2026-07-31 14:35:44.238545,O0002,0,0,0,0,0,0,1355,92
2026-07-30 14:35:44.238545,O0002,266,7,0,0,0,0,1705,70
2026-07-29 14:35:44.238545,O0002,245,12,2,0,0,0,2360,72
2026-07-28 14:35:44.238545,O0002,144,8,1,0,0,0,2287,77
2026-07-27 14:35:44.238545,O0002,123,3,0,0,0,0,1447,84
